DOMAIN,NAME,COUNTRY,LANGUAGE,NOTES
tb.no,Tønsbergs Blad,no,no,
dagsavisen.no,Dagsavisen,no,no,
budstikka.no,Budstikka,no,no,
ba.no,Bergensavisen,no,no,
oa.no,Oppland Arbeiderblad,no,no,
vl.no,Vårt Land,no,no,
an.no,Avisa Nordland,no,no,
f-b.no,Fredriksstad Blad,no,no,
agderposten.no,Agderposten,no,no,
t-a.no,Trønder-Avisa,no,no,
ta.no,Telemarksavisa,no,no,
glomdalen.no,Glåmdalen,no,no,
rbnett.no,Romsdals Budstikke,no,no,
tk.no,Tidens Krav,no,no,
sa.no,Sarpsborg Arbeiderblad,no,no,
klassekampen.no,Klassekampen,no,no,
itromso.no,Bladet Tromsø,no,no,
dagen.no,Dagen,no,no,
ranablad.no,Rana Blad,no,no,
sognavis.no,Sogn Avis,no,no,
dagogtid.no,Dag og Tid,no,no,
tradewindsnews.com,TradeWinds,no,en,
upstreamonline.com,Upstream,no,en,
bt.dk,B.T.,dk,da,
politiken.dk,Dagbladet Politiken,dk,da,
weekendavisen.dk,Weekendavisen,dk,da,
jyllands-posten.dk,Morgenavisen Jyllands-Posten,dk,da,
berlingske.dk,Berlingske,dk,da,
borsen.dk,Dagbladet Børsen,dk,da,
kristeligt-dagblad.dk,Kristeligt Dagblad,dk,da,
ekstrabladet.dk,Ekstrabladet,dk,da,
information.dk,Dagbladet Information,dk,da,
cphpost.dk,The Copenhagen Post,dk,da,
arbejderen.dk,Dagbladet Arbejderen,dk,da,
sondagsavisen.dk,Søndagsavisen,dk,da,
nknews.org,,us,en,domain
cnn.com,,us,en,news
wsj.com,,us,en,news
usatoday.com,,us,en,news
latimes.com,,us,en,news
nytimes.com,,us,en,news
chron.com,,us,en,news
chicagotribune.com,,us,en,news
tampabay.com,,us,en,news
washingtonpost.com,,us,en,news
newsday.com,,us,en,news
nypost.com,,us,en,news
dallasnews.com,,us,en,news
nydailynews.com,,us,en,news
denverpost.com,,us,en,news
bostonglobe.com,,us,en,news
seattlenews.com,,us,en,news
usnews.com,,us,en,news
time.com,,us,en,news
foxnews.com,,us,en,news
politico.com,,us,en,news
foreignpolicy.com,,us,en,specialist
thediplomat.com,,us,en,specialist
huffpost.com,,us,en,news
theconversation.com,,us,en,blog
npr.org,,us,en,news
chinafocus.com,,us,en,specialist
nbcnews.com,,us,en,news
economist.com,,uk,en,news
theguardian.co.uk,,uk,en,news
independent.co.uk,,uk,en,news
bbc.com,,uk,en,news
biznews.com.mx,,mx,es,news
eluniversal.com.mx,,mx,es,news
reforma.com,,mx,es,news
jornada.com.mx,,mx,es,news
yucatan.com.mx,,mx,es,news
debate.com.mx,,mx,es,news
cronica.com.mx,,mx,es,news
economista.com.mx,,mx,es,news
unamasuno.com.mx,,mx,es,news
poresto.net,,mx,es,news
record.com.mx,,mx,es,news
la-prensa.com.mx,,mx,es,news
razon.com.mx,,mx,es,news
granma.cu,,cu,es,news
prensa-latina.cu,,cu,es,news
juventudrebelde.cu,,cu,es,news
trabajadores.cu,,cu,es,news
escambray.cu,,cu,es,news
tribuna.cu,,cu,es,news
periodico26.cu,,cu,es,news
invasor.cu,,cu,es,news
guerrillero.cu,,cu,es,news
ahora.cu,,cu,es,news
ecured.cu,,cu,es,news
adelante.cu,,cu,es,news
elhabanero.cubaweb.cu,,cu,es,news
lademajagua.co.cu,,cu,es,news
giron.cu,,cu,es,news
venceremos.cu,,cu,es,news
sierramaestra.cu,,cu,es,news
5septiembre.cu,,cu,es,news
havanatimes.org,,cu,es,news
northkoreatech.org,,us,en,domain
38north.org,,us,en,domain
armscontrolwonk.com,,us,en,domain
